Date,PowerBurn,Temp,HDD,CDD,Wind,Hydro,Nuke
2/1/11,12750758.73,35.39420908,29.98031041,0.374519496,18507.14287,38955.63516,95298
2/2/11,15545801.71,33.83839692,31.67597517,0.514372088,13771.95339,37747.57266,94123
2/3/11,16004308.55,29.92767424,35.40393614,0.331610381,11346.31926,36815.2721,94371
2/4/11,14712770.71,33.77268573,31.71842797,0.491113699,10935.6927,33968.42991,94417
2/5/11,12294943.01,38.73854177,26.73035877,0.468900541,8071.590185,32123.90177,94417
2/6/11,11999935.71,42.92130148,22.60383007,0.525131553,10348.65771,32135.47704,94417
2/7/11,13669928.68,41.16320812,24.58330458,0.746512701,13050.28743,34208.39019,94360
2/8/11,14523140.38,33.60461515,31.53202974,0.136644891,14781.15169,37944.48515,94349
2/9/11,15857965.73,29.75487065,35.44136156,0.196232209,11149.88252,39915.7492,94349
2/10/11,15924442.55,29.35204735,36.05939461,0.411441964,6841.376275,40301.77598,94337
2/11/11,13936453.71,34.32449968,30.93679753,0.261297209,7899.555329,39574.92073,94326
2/12/11,11198888.07,40.94325088,24.42786275,0.371113631,11718.74578,36805.49587,94463
2/13/11,10885992.34,45.63788837,19.61826768,0.256156052,13802.88067,35939.12981,93243
2/14/11,11705451.82,48.97784326,16.3940922,0.371935462,10314.83389,36828.40034,93259
2/15/11,11540315.85,44.67777954,20.85068339,0.528462933,11414.08458,37909.41429,93992
2/16/11,10546064.61,48.47453677,17.09104639,0.565583167,13152.46384,36821.96699,94694
2/17/11,10252416.08,54.65016533,11.51086781,1.161033141,13726.69771,37758.60783,92878
2/18/11,9561130.602,54.44090358,11.91874127,1.359644848,9373.130796,37701.65022,94168
2/19/11,8975945.441,47.32025627,18.57667376,0.89693003,9395.761943,36641.00255,95568
2/20/11,9294435.238,44.80069489,21.18955454,0.990249429,14255.65636,36134.61398,94551
2/21/11,10691057.55,44.01747269,22.13650986,1.153982551,8027.485311,37069.06551,94574
2/22/11,11580453.02,40.24604719,25.67515268,0.921199873,8820.242289,36524.06464,93583
2/23/11,12043041.09,42.67609326,23.37210156,1.048194817,10552.84689,37616.05027,93630
2/24/11,12093440.55,44.80239494,21.42438962,1.226784563,12819.67787,37243.70159,94281
2/25/11,11963938.26,44.44982999,21.49232906,0.94215905,7119.34598,37108.22781,93093
2/26/11,10942640.91,41.62156213,24.17091155,0.792473689,6745.136559,36299.59483,91900
2/27/11,10408255.15,48.53166621,18.2508424,1.782508601,12230.98212,36450.71335,91934
2/28/11,12053956.49,49.35074424,17.00128266,1.352026901,10953.27389,36536.13428,91934
3/1/11,12056155.24,44.91352431,20.8038565,0.717380803,10373.22835,37616.2176,91441
3/2/11,12141165.51,45.91496804,19.80621408,0.721182117,9553.267242,37256.34783,91441
3/3/11,11539747.55,44.62006377,21.22723946,0.847303233,9219.921339,37925.61447,91441
3/4/11,10657660.57,48.33939171,17.69281717,1.032208871,10998.58453,38857.53517,90304
3/5/11,10336862.38,49.59637135,16.29559104,0.891962396,8991.861523,36716.19401,88812
3/6/11,11453917.76,46.550406,19.07650686,0.62691286,8421.434079,36870.84,87754
3/7/11,12295967.51,44.44124965,20.91957419,0.360823839,10166.8738,37879.52774,86375
